"j","freq_j"
0,101576
1,21729
2,15879
3,12476
4,10059
5,8871
6,7750
7,6830
8,6067
9,5484
10,4997
11,4684
12,4232
13,3883
14,3618
15,3338
16,3161
17,2935
18,2784
19,2621
20,2422
21,2410
22,2180
23,2118
24,2002
25,1885
26,1920
27,1683
28,1626
29,1572
30,1514
31,1418
32,1359
33,1362
34,1310
35,1162
36,1223
37,1156
38,1102
39,974
40,1003
41,966
42,908
43,912
44,852
45,857
46,811
47,743
48,754
49,776
50,684
51,676
52,678
53,708
54,651
55,602
56,586
57,611
58,585
59,545
60,555
61,572
62,515
63,569
64,463
65,453
66,450
67,460
68,402
69,465
70,427
71,402
72,426
73,363
74,428
75,376
76,388
77,396
78,319
79,337
80,317
81,310
82,338
83,343
84,312
85,289
86,307
87,287
88,292
89,277
90,247
91,268
92,281
93,244
94,249
95,261
96,276
97,248
98,240
99,216
100,212
101,236
102,178
103,218
104,232
105,221
106,200
107,181
108,169
109,190
110,180
111,176
112,154
113,181
114,183
115,186
116,153
117,173
118,183
119,159
120,163
121,139
122,166
123,171
124,163
125,135
126,142
127,129
128,146
129,169
130,117
131,152
132,152
133,148
134,113
135,121
136,157
137,135
138,126
139,138
140,113
141,122
142,121
143,142
144,111
145,108
146,114
147,129
148,86
149,124
150,115
151,114
152,108
153,108
154,92
155,92
156,82
157,90
158,97
159,79
160,109
161,91
162,91
163,87
164,89
165,86
166,73
167,85
168,87
169,96
170,75
171,76
172,72
173,64
174,78
175,62
176,76
177,82
178,67
179,71
180,75
181,71
182,79
183,67
184,73
185,54
186,73
187,69
188,74
189,59
190,66
191,49
192,62
193,70
194,73
195,64
196,67
197,72
198,58
199,70
200,51
201,49
202,54
203,51
204,52
205,51
206,58
207,59
208,54
209,55
210,60
211,59
212,51
213,59
214,62
215,53
216,55
217,47
218,31
219,48
220,62
221,46
222,44
223,39
224,47
225,53
226,45
227,43
228,38
229,47
230,38
231,48
232,35
233,32
234,47
235,45
236,44
237,40
238,45
239,39
240,30
241,47
242,47
243,35
244,41
245,44
246,37
247,34
248,37
249,28
250,38
251,33
252,41
253,32
254,46
255,47
256,36
257,44
258,31
259,34
260,37
261,34
262,39
263,28
264,30
265,27
266,32
267,27
268,31
269,28
270,22
271,34
272,31
273,40
274,28
275,25
276,31
277,29
278,23
279,34
280,27
281,33
282,30
283,30
284,32
285,34
286,37
287,27
288,29
289,35
290,28
291,31
292,22
293,34
294,25
295,24
296,36
297,25
298,26
299,29
300,23
301,20
302,32
303,22
304,16
305,27
306,25
307,33
308,21
309,22
310,37
311,24
312,19
313,26
314,27
315,17
316,28
317,19
318,26
319,27
320,21
321,21
322,32
323,24
324,24
325,23
326,17
327,18
328,25
329,25
330,23
331,21
332,22
333,20
334,22
335,21
336,15
337,11
338,14
339,22
340,26
341,18
342,18
343,19
344,21
345,15
346,19
347,15
348,20
349,12
350,21
351,16
352,17
353,19
354,14
355,17
356,17
357,11
358,17
359,16
360,18
361,18
362,12
363,13
364,11
365,21
366,16
367,14
368,13
369,10
370,10
371,14
372,11
373,15
374,15
375,13
376,16
377,13
378,19
379,15
380,9
381,20
382,21
383,15
384,12
385,11
386,19
387,13
388,12
389,8
390,15
391,9
392,14
393,17
394,18
395,12
396,15
397,16
398,9
399,16
400,13
401,16
402,11
403,6
404,10
405,10
406,16
407,11
408,8
409,15
410,13
411,12
412,14
413,10
414,9
415,12
416,9
417,9
418,11
419,12
420,10
421,16
422,13
423,12
424,10
425,8
426,9
427,11
428,12
429,13
430,14
431,10
432,13
433,9
434,14
435,8
436,10
437,9
438,20
439,17
440,7
441,14
442,11
443,12
444,9
445,13
446,13
447,13
448,9
449,8
450,10
451,12
452,16
453,11
454,9
455,16
456,11
457,10
458,14
459,6
460,9
461,9
462,11
463,7
464,7
465,7
466,7
467,7
468,15
469,5
470,10
471,7
472,6
473,1
474,5
475,6
476,3
477,12
478,8
479,11
480,13
481,11
482,9
483,4
484,7
485,6
486,11
487,9
488,9
489,7
490,8
491,9
492,9
493,10
494,8
495,10
496,7
497,9
498,8
499,8
500,13
501,6
502,10
503,11
504,6
505,10
506,6
507,12
508,3
509,12
510,12
511,10
512,5
513,11
514,8
515,4
516,8
517,13
518,5
519,10
520,11
521,4
522,3
523,6
524,10
525,6
526,12
527,5
528,5
529,6
530,6
531,6
532,4
533,8
534,4
535,12
536,12
537,9
538,5
539,9
540,8
541,4
542,2
543,8
544,6
545,3
546,9
547,5
548,5
549,6
550,8
551,6
552,7
553,5
554,5
555,5
556,4
557,7
558,7
559,6
560,5
561,11
562,5
563,8
564,6
565,11
566,7
567,4
568,7
569,9
570,7
571,10
572,4
573,3
574,9
575,6
576,7
577,4
578,6
579,5
580,9
581,4
582,2
583,7
584,1
585,8
586,2
587,5
588,10
589,7
590,8
591,6
592,6
593,3
594,5
595,9
596,10
597,2
598,1
599,12
600,8
601,4
602,5
603,4
604,5
605,8
606,4
607,4
608,3
609,7
610,3
611,6
612,6
613,1
614,7
615,7
616,8
617,7
618,5
619,6
620,3
621,6
622,7
623,6
624,8
625,5
626,5
627,7
628,4
629,4
630,2
631,1
632,4
633,5
634,9
635,10
636,7
637,3
638,3
639,6
640,6
641,4
642,4
643,6
644,2
645,2
