"authors","citations"
1,1486
1,506
1,475
1,241
1,205
1,198
1,181
1,169
1,163
1,145
1,143
1,135
1,118
1,109
1,108
1,105
1,103
1,102
1,95
1,87
1,84
1,77
1,75
1,75
1,72
1,69
1,68
1,68
1,67
1,65
1,64
1,63
1,62
1,55
1,55
1,55
1,54
1,52
1,47
1,43
1,40
1,38
1,37
1,36
1,36
1,36
1,35
1,35
1,34
1,34
1,33
1,32
1,31
1,31
1,31
1,30
1,30
1,30
1,29
1,29
1,28
1,28
1,28
1,27
1,27
1,27
1,27
1,27
1,26
1,25
1,25
1,24
1,24
1,24
1,22
1,22
1,22
1,22
1,22
1,21
1,21
1,21
1,20
1,20
1,20
1,19
1,19
1,18
1,18
1,18
1,18
1,18
1,17
1,16
1,16
1,16
1,16
1,16
1,16
1,16
1,14
1,14
1,14
1,14
1,14
1,14
1,13
1,13
1,12
1,12
1,12
1,12
1,12
1,11
1,11
1,11
1,11
1,11
1,11
1,11
1,11
1,10
1,9
1,9
1,9
1,9
1,9
1,8
1,7
1,7
1,6
1,6
1,6
1,6
1,6
1,6
1,6
1,6
1,6
1,6
1,5
1,5
1,5
1,5
1,5
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,13
2,8
2,7
2,5
2,4
2,3
2,3
2,2
2,2
2,2
2,2
2,1
2,1
2,1
2,0
2,0
2,0
2,0
2,0
3,309
3,146
3,126
3,84
3,75
3,73
3,73
3,73
3,57
3,57
3,56
3,56
3,51
3,39
3,39
3,35
3,27
3,25
3,25
3,23
3,23
3,22
3,22
3,21
3,20
3,20
3,19
3,19
3,18
3,17
3,16
3,16
3,16
3,15
3,14
3,14
3,13
3,12
3,11
3,10
3,10
3,10
3,8
3,8
3,7
3,7
3,7
3,6
3,6
3,6
3,6
3,6
3,6
3,5
3,5
3,5
3,5
3,5
3,5
3,5
3,5
3,5
3,4
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
4,176
4,105
4,92
4,87
4,44
4,43
4,35
4,30
4,29
4,29
4,29
4,27
4,26
4,26
4,24
4,23
4,22
4,22
4,22
4,19
4,18
4,17
4,16
4,15
4,14
4,11
4,11
4,10
4,10
4,8
4,8
4,7
4,7
4,7
4,7
4,6
4,6
4,6
4,6
4,6
4,5
4,5
4,5
4,5
4,4
4,4
4,3
4,3
4,2
4,1
4,1
4,1
4,1
4,1
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
5,51
5,45
5,42
5,29
5,25
5,18
5,17
5,17
5,16
5,16
5,16
5,15
5,15
5,11
5,9
5,9
5,5
5,4
5,4
5,3
5,2
5,2
5,2
5,2
5,1
5,0
5,0
5,0
5,0
6,72
6,71
6,71
6,66
6,57
6,38
6,37
6,36
6,32
6,31
6,29
6,27
6,26
6,25
6,25
6,25
6,24
6,22
6,21
6,19
6,19
6,18
6,17
6,17
6,17
6,16
6,16
6,16
6,15
6,14
6,14
6,13
6,13
6,13
6,13
6,13
6,13
6,12
6,11
6,11
6,10
6,10
6,10
6,10
6,10
6,10
6,9
6,9
6,8
6,8
6,8
6,7
6,6
6,6
6,6
6,6
6,6
6,5
6,5
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,3
6,3
6,3
6,3
6,3
6,3
6,3
6,3
6,3
6,2
6,2
6,2
6,2
6,2
6,2
6,2
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
6,0
7,39
7,37
7,21
7,14
7,13
7,7
7,5
7,4
7,3
7,2
7,0
7,0
8,46
8,41
8,29
8,24
8,15
8,14
8,14
8,13
8,13
8,11
8,10
8,9
8,8
8,6
8,6
8,5
8,5
8,4
8,4
8,4
8,3
8,3
8,2
8,2
8,1
8,1
8,1
8,1
8,1
8,1
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
9,129
9,75
9,32
9,29
9,26
9,24
9,21
9,21
9,21
9,19
9,19
9,17
9,17
9,16
9,15
9,15
9,14
9,14
9,14
9,13
9,13
9,13
9,12
9,12
9,11
9,11
9,10
9,10
9,10
9,9
9,9
9,8
9,8
9,8
9,7
9,7
9,7
9,7
9,7
9,7
9,6
9,6
9,6
9,5
9,5
9,5
9,5
9,4
9,4
9,4
9,4
9,4
9,4
9,4
9,4
9,4
9,4
9,4
9,3
9,3
9,3
9,3
9,3
9,3
9,2
9,2
9,2
9,2
9,2
9,2
9,2
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
10,576
10,503
10,492
10,392
10,323
10,260
10,214
10,188
10,182
10,146
10,141
10,112
10,105
10,105
10,101
10,95
10,93
10,89
10,89
10,86
10,81
10,77
10,76
10,75
10,73
10,71
10,68
10,67
10,64
10,60
10,59
10,56
10,56
10,52
10,51
10,51
10,51
10,50
10,48
10,45
10,45
10,43
10,42
10,42
10,41
10,41
10,41
10,41
10,40
10,40
10,39
10,39
10,39
10,38
10,36
10,35
10,35
10,33
10,32
10,32
10,32
10,31
10,31
10,31
10,30
10,30
10,30
10,29
10,29
10,29
10,28
10,28
10,28
10,28
10,28
10,28
10,27
10,27
10,27
10,27
10,27
10,27
10,27
10,27
10,26
10,26
10,26
10,26
10,25
10,25
10,24
10,24
10,24
10,24
10,24
10,24
10,24
10,24
10,24
10,23
10,23
10,23
10,23
10,23
10,23
10,23
10,23
10,22
10,22
10,22
10,22
10,22
10,22
10,22
10,22
10,22
10,22
10,22
10,22
10,21
10,21
10,21
10,21
10,20
10,20
10,20
10,20
10,20
10,20
10,20
10,19
10,19
10,19
10,19
10,19
10,19
10,18
10,18
10,18
10,18
10,18
10,18
10,18
10,18
10,18
10,17
10,17
10,17
10,17
10,17
10,17
10,17
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,16
10,15
10,15
10,15
10,15
10,15
10,15
10,15
10,15
10,15
10,15
10,15
10,15
10,15
10,15
10,15
10,15
10,15
10,14
10,14
10,14
10,14
10,14
10,14
10,14
10,14
10,14
10,14
10,14
10,14
10,14
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,13
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,12
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,11
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
10,9
