"j","M_j"
0,6472
1,1157
2,790
3,583
4,484
5,425
6,367
7,356
8,318
9,252
10,231
11,220
12,197
13,205
14,172
15,164
16,154
17,135
18,117
19,129
20,92
21,91
22,101
23,92
24,68
25,72
26,70
27,65
28,64
29,59
30,60
31,51
32,45
33,49
34,44
35,32
36,39
37,50
38,39
39,33
40,22
41,34
42,27
43,29
44,29
45,24
46,34
47,18
48,26
49,28
50,17
51,23
52,22
53,18
54,16
55,26
56,22
57,16
58,10
59,17
60,18
61,13
62,12
63,16
64,15
65,14
66,18
67,13
68,19
69,8
70,11
71,6
72,10
73,12
74,9
75,14
76,9
77,10
78,13
79,6
80,8
81,4
82,10
83,9
84,13
85,4
86,12
87,7
88,6
89,7
90,2
91,7
92,10
93,5
94,6
95,4
96,6
97,3
98,3
99,4
100,4
101,6
102,6
103,12
104,5
105,9
106,2
107,6
108,7
109,6
110,3
111,7
112,2
113,5
114,4
115,4
116,8
117,3
118,4
119,3
120,2
121,5
122,3
123,3
124,3
125,8
126,4
127,5
128,3
129,10
130,2
131,4
133,4
134,1
135,3
136,4
137,3
139,2
141,3
142,6
143,4
144,1
145,1
146,4
147,1
149,1
150,1
151,2
152,4
154,1
155,3
156,1
157,2
159,2
160,2
161,3
162,3
163,3
165,1
167,1
168,1
169,3
171,1
172,1
174,1
176,2
177,1
179,1
180,3
181,2
182,1
183,2
184,2
186,2
187,2
188,1
189,2
191,1
192,1
196,1
197,3
198,3
199,1
200,2
203,1
204,1
205,2
208,2
212,1
213,1
214,3
215,1
216,2
218,1
219,4
223,1
227,1
228,2
229,1
230,1
231,2
232,1
235,1
238,1
241,1
242,2
245,3
246,1
248,2
250,1
255,1
256,1
257,2
259,2
260,1
262,1
263,1
270,1
273,1
274,1
278,2
279,4
280,2
282,1
283,1
286,1
288,1
291,1
295,1
302,1
305,1
308,2
309,1
316,1
317,2
319,1
323,1
324,2
327,2
328,1
330,2
334,1
337,2
338,1
339,1
341,1
344,1
347,1
348,1
353,2
362,1
364,1
372,2
374,2
377,1
387,1
392,1
394,1
398,1
402,1
411,1
429,1
437,1
442,1
453,2
465,1
471,1
475,1
487,2
492,3
496,1
503,1
504,1
506,1
512,1
536,1
559,1
571,1
576,2
584,1
588,1
623,1
630,1
637,1
711,1
723,1
737,1
739,1
763,1
775,1
898,1
1001,1
1052,1
1081,1
1305,1
1360,1
1384,1
1486,1
1681,1
1768,1
1806,1
2955,1
3909,1
4082,1
4100,1
4981,1
